Sales,Competitor_Price,Income,Advertising,Population,Price,Shelf_Location,Age,Education,Urban,US
86,85,144,30,956,110,Good,35,10,Yes,No
23,55,55,37,245,187,Bad,55,19,No,Yes
66,115,58,31,775,99,Medium,32,11,Yes,Yes
27,124,50,10,538,52,Medium,26,15,Yes,No
2,53,40,44,341,156,Bad,55,11,No,No
90,128,69,24,680,162,Medium,28,12,Yes,Yes
17,183,40,32,786,143,Good,51,13,Yes,Yes
33,167,65,37,660,167,Good,30,14,No,No
9,162,142,40,582,130,Good,27,18,No,No
43,143,88,7,207,158,Good,52,13,No,No
48,111,68,10,325,100,Bad,42,18,Yes,No
39,128,133,21,772,196,Medium,44,19,Yes,No
93,185,128,23,730,84,Good,27,12,No,Yes
42,75,83,40,760,95,Bad,41,17,No,Yes
26,93,127,16,761,118,Medium,23,10,Yes,Yes
99,182,84,11,531,142,Medium,59,18,No,Yes
50,119,140,45,904,113,Bad,22,18,No,No
25,167,53,31,754,98,Bad,48,19,No,No
24,117,147,14,518,198,Good,48,11,Yes,No
13,68,51,15,554,123,Medium,53,13,Yes,Yes
60,69,98,21,259,54,Medium,53,17,Yes,Yes
7,162,85,27,622,149,Bad,47,16,Yes,Yes
57,189,62,19,749,119,Medium,32,10,Yes,No
36,96,65,32,689,139,Good,34,14,Yes,Yes
45,50,140,9,176,53,Medium,42,16,No,No
20,139,49,39,608,175,Bad,45,13,Yes,No
65,191,112,31,540,88,Bad,23,10,Yes,No
8,113,128,49,353,178,Good,45,18,No,No
16,87,145,32,869,73,Good,59,14,Yes,No
14,86,136,1,419,106,Medium,28,11,Yes,No
76,175,110,32,902,149,Medium,24,17,No,Yes
87,188,91,32,362,119,Bad,51,11,No,No
15,149,138,40,696,90,Good,39,12,No,No
92,126,136,12,757,109,Good,30,19,Yes,Yes
98,52,127,29,934,157,Good,34,10,No,No
66,183,102,32,653,106,Medium,51,11,Yes,Yes
32,59,55,12,473,80,Good,47,16,Yes,Yes
87,54,95,25,736,133,Bad,41,19,Yes,Yes
63,187,146,21,266,85,Bad,36,11,Yes,No
86,179,102,38,852,157,Medium,45,15,No,No
51,62,102,1,558,155,Medium,26,12,No,Yes
25,179,69,37,379,135,Good,45,13,Yes,No
58,133,46,38,799,184,Medium,44,17,No,No
63,114,30,25,401,63,Bad,29,12,Yes,Yes
62,112,118,45,630,169,Good,38,19,Yes,Yes
22,150,90,49,679,187,Bad,30,15,Yes,No
58,122,72,14,317,129,Good,32,10,No,Yes
58,66,133,33,201,193,Medium,27,16,Yes,Yes
86,58,71,41,653,155,Good,59,17,Yes,Yes
49,192,54,43,387,119,Good,23,17,No,No
52,87,68,48,266,93,Bad,50,12,No,No
42,143,64,39,720,122,Bad,47,19,No,No
70,144,32,10,135,94,Good,30,10,No,Yes
15,98,143,2,843,156,Medium,20,18,Yes,No
54,118,130,5,840,133,Medium,57,15,No,Yes
60,111,137,8,452,131,Bad,43,18,Yes,No
97,127,73,5,775,156,Medium,50,16,No,No
8,166,80,8,998,70,Bad,45,10,No,Yes
53,169,123,38,172,56,Medium,24,10,No,No
60,186,131,30,747,119,Good,39,15,No,Yes
5,125,127,31,452,176,Bad,30,14,No,No
68,84,41,40,990,192,Bad,52,18,No,No
6,50,48,49,169,197,Good,57,11,Yes,Yes
96,89,130,11,524,192,Bad,46,17,No,Yes
94,113,73,7,807,198,Medium,53,14,No,Yes
47,199,88,7,880,169,Medium,34,11,No,No
99,109,78,49,660,177,Bad,51,19,No,No
55,113,90,27,927,191,Medium,40,15,Yes,No
40,142,46,19,741,106,Bad,24,19,No,Yes
52,121,103,46,616,107,Good,25,17,No,Yes
16,60,86,6,527,70,Bad,57,13,No,Yes
13,154,84,10,638,131,Good,41,11,No,No
30,63,142,19,259,118,Medium,37,14,Yes,No
19,109,76,15,248,180,Good,33,11,No,Yes
17,79,41,3,875,136,Medium,29,11,Yes,No
63,84,91,5,329,98,Bad,32,15,No,Yes
19,54,109,21,811,196,Medium,50,19,Yes,No
92,132,117,25,661,164,Bad,49,18,Yes,No
58,172,112,2,166,138,Bad,22,13,No,Yes
55,127,37,40,911,134,Good,49,15,No,No
90,111,124,41,480,177,Good,25,16,Yes,No
90,181,50,13,157,189,Good,48,15,Yes,Yes
62,138,110,10,358,166,Good,27,17,No,Yes
23,91,116,17,441,176,Medium,52,13,Yes,No
9,138,130,11,937,120,Medium,36,10,Yes,Yes
12,195,147,22,229,135,Medium,30,16,Yes,No
1,89,109,11,826,82,Bad,32,12,No,Yes
58,121,99,12,271,130,Medium,30,15,Yes,No
1,88,101,24,869,110,Medium,50,11,Yes,No
34,153,54,44,713,110,Medium,47,18,Yes,Yes
96,63,111,18,308,147,Good,25,10,No,No
48,81,118,45,902,77,Medium,35,15,No,No
89,174,41,35,453,92,Bad,23,15,Yes,Yes
1,146,44,44,570,135,Good,54,14,No,Yes
16,72,88,7,897,66,Bad,45,14,Yes,No
61,112,55,28,215,147,Medium,31,10,No,Yes
64,192,134,31,363,147,Good,30,19,No,Yes
63,194,138,43,761,114,Bad,56,14,Yes,No
69,102,55,17,911,123,Medium,44,11,No,No
22,153,76,5,541,134,Bad,37,16,No,Yes
93,153,61,17,647,54,Bad,38,12,No,Yes
67,88,39,18,552,51,Bad,42,13,Yes,Yes
76,183,45,21,944,71,Medium,57,12,No,No
26,116,100,36,576,161,Medium,37,12,No,No
16,184,46,31,386,106,Bad,45,13,Yes,No
